_dataobs_,id,age,gender,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,duis,past_accidents,outcome,IMP_annual_mileage,IMP_credit_score,GRP_IMP_credit_score,GRP_age,GRP_children,GRP_married,GRP_past_accidents,GRP_speeding_violations,GRP_vehicle_ownership,GRP_driving_experience,GRP_education,GRP_income,GRP_vehicle_year,BIN_outcome
1,569520,3,0,0-9y,high school,upper class,0.6290273139,1,after 2015,0,1,10238,12000,sedan,0,0,0,0,12000,0.6290273139,5,4,4,3,3,3,4,2,2,2,3,0
2,750365,0,1,0-9y,none,poverty,0.357757117,0,before 2015,0,0,10238,16000,sedan,0,0,0,1,16000,0.357757117,2,2,3,3,3,3,3,2,4,4,2,1
4,478866,0,1,0-9y,university,working class,0.2060128507,1,before 2015,0,1,32765,11000,sedan,0,0,0,0,11000,0.2060128507,2,2,4,3,3,3,4,2,3,5,2,0
5,731664,1,1,10-19y,none,working class,0.3883658882,1,before 2015,0,0,32765,12000,sedan,2,0,1,1,12000,0.3883658882,2,3,3,3,3,4,4,3,4,5,2,1
6,877557,2,0,20-29y,high school,upper class,0.6191273726,1,after 2015,0,1,10238,13000,sedan,3,0,3,0,13000,0.6191273726,5,4,4,3,4,4,4,4,2,2,3,0
7,930134,3,1,30y+,high school,upper class,0.4929435502,0,after 2015,1,1,10238,13000,sedan,7,0,3,0,13000,0.4929435502,3,4,4,4,4,4,3,5,2,2,3,0
8,461006,1,0,0-9y,university,working class,0.4686892974,0,after 2015,0,1,10238,14000,sedan,0,0,0,1,14000,0.4686892974,3,3,4,3,3,3,3,2,3,5,3,1
9,68366,2,0,20-29y,university,working class,0.5218149363,0,before 2015,1,0,10238,13000,sedan,0,0,0,0,13000,0.5218149363,3,4,3,4,3,3,3,4,3,5,2,0
10,445911,2,0,0-9y,high school,upper class,0.5615310319,1,before 2015,0,1,32765,11000,sedan,0,0,0,1,11000,0.5615310319,4,4,4,3,3,3,4,2,2,2,2,1
11,275820,3,1,30y+,high school,upper class,0.620361264,1,after 2015,1,1,10238,10000,sedan,6,2,7,0,10000,0.620361264,5,4,4,4,4,4,4,5,2,2,3,0
12,521399,3,0,30y+,high school,upper class,0.7298308816,1,after 2015,1,0,32765,12000,sedan,4,0,0,0,12000,0.7298308816,5,4,3,4,3,4,4,5,2,2,3,0
13,429728,2,1,20-29y,high school,upper class,0.6370447436,1,before 2015,1,1,10238,8000,sedan,4,1,2,0,8000,0.6370447436,5,4,4,4,4,4,4,4,2,2,2,0
14,569640,0,0,0-9y,university,upper class,0.5912599717,1,before 2015,0,1,10238,,sedan,0,0,0,0,12000,0.5912599717,4,2,4,3,3,3,4,2,3,2,2,0
15,980181,1,1,10-19y,high school,middle class,0.461567963,1,before 2015,1,1,10238,12000,sedan,0,2,1,0,12000,0.461567963,3,3,4,4,3,3,4,3,2,3,2,0
17,517747,3,1,30y+,university,upper class,0.7961748462,1,before 2015,1,1,32765,,sedan,10,2,1,0,12000,0.7961748462,5,4,4,4,3,4,4,5,3,2,2,0
18,24851,0,1,0-9y,none,poverty,,0,before 2015,1,0,32765,12000,sedan,0,0,0,1,12000,0.5250327586,3,2,3,4,3,3,3,2,4,4,2,1
19,104086,1,0,0-9y,university,upper class,0.6805942795,1,before 2015,0,1,32765,,sedan,0,0,0,1,12000,0.6805942795,5,3,4,3,3,3,4,2,3,2,2,1
20,240658,0,0,0-9y,high school,working class,0.4177139816,1,before 2015,0,1,10238,18000,sedan,0,0,0,1,18000,0.4177139816,2,2,4,3,3,3,4,2,2,5,2,1
21,484399,0,0,0-9y,high school,working class,0.4095135307,0,before 2015,0,0,10238,17000,sedan,0,0,0,1,17000,0.4095135307,2,2,3,3,3,3,3,2,2,5,2,1
22,912828,0,1,0-9y,high school,middle class,0.5532600532,1,after 2015,1,1,32765,8000,sedan,0,0,0,1,8000,0.5532600532,4,2,4,4,3,3,4,2,2,3,3,1
23,892754,2,1,20-29y,none,poverty,0.3309502619,1,before 2015,1,1,10238,13000,sedan,3,1,1,0,13000,0.3309502619,2,4,4,4,3,4,4,4,4,4,2,0
25,633896,3,1,30y+,high school,upper class,0.5006306604,1,before 2015,1,1,32765,7000,sedan,13,2,3,0,7000,0.5006306604,3,4,4,4,4,4,4,5,2,2,2,0
26,193110,1,0,10-19y,university,middle class,0.5519701814,1,before 2015,1,0,10238,14000,sports car,0,0,0,0,14000,0.5519701814,4,3,3,4,3,3,4,3,3,3,2,0
27,98515,2,1,10-19y,high school,middle class,0.6269960497,1,before 2015,0,0,10238,13000,sedan,1,1,0,0,13000,0.6269960497,5,4,3,3,3,3,4,3,2,3,2,0
28,165623,1,1,10-19y,none,poverty,0.2947974808,1,before 2015,1,0,10238,15000,sedan,0,0,1,0,15000,0.2947974808,2,3,3,4,3,3,4,3,4,4,2,0
