_dataobs_,id,age,gender,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,duis,past_accidents,outcome,IMP_annual_mileage,IMP_credit_score,GRP_IMP_credit_score,GRP_age,GRP_children,GRP_married,GRP_past_accidents,GRP_speeding_violations,GRP_vehicle_ownership,GRP_driving_experience,GRP_education,GRP_income,GRP_vehicle_year,BIN_outcome
3,199901,0,0,0-9y,high school,working class,0.4931457852,1,before 2015,0,0,10238,11000,sedan,0,0,0,0,11000,0.4931457852,3,2,3,3,3,3,4,2,2,5,2,0
16,906223,1,0,0-9y,high school,upper class,0.7627979411,0,after 2015,1,0,10238,,sedan,0,0,0,0,12000,0.7627979411,5,3,3,4,3,3,3,2,2,2,3,0
24,217,0,1,0-9y,none,poverty,,0,before 2015,0,0,10238,17000,sedan,0,0,0,0,17000,0.5250327586,3,2,3,3,3,3,3,2,4,4,2,0
29,493590,1,1,10-19y,university,middle class,0.5519504953,0,after 2015,0,0,10238,17000,sedan,0,0,1,0,17000,0.5519504953,4,3,3,3,3,3,3,3,3,3,3,0
33,496987,0,1,0-9y,none,poverty,0.1712440288,1,before 2015,1,1,10238,9000,sedan,0,0,0,0,9000,0.1712440288,2,2,4,4,3,3,4,2,4,4,2,0
34,732437,0,1,0-9y,none,poverty,0.3184419972,1,before 2015,0,1,32765,10000,sedan,0,0,0,1,10000,0.3184419972,2,2,4,3,3,3,4,2,4,4,2,1
48,921097,2,0,20-29y,university,upper class,,1,after 2015,1,1,92101,11000,sedan,3,0,2,0,11000,0.5250327586,3,4,4,4,4,4,4,4,3,2,3,0
50,105372,1,0,10-19y,none,working class,0.5039497598,0,before 2015,0,1,10238,14000,sedan,1,0,0,0,14000,0.5039497598,3,3,4,3,3,3,3,3,4,5,2,0
52,37454,1,0,0-9y,high school,working class,0.5241464658,0,before 2015,0,0,10238,17000,sedan,0,0,0,1,17000,0.5241464658,3,3,3,3,3,3,3,2,2,5,2,1
61,839572,2,1,20-29y,high school,working class,0.4529442316,0,before 2015,1,1,10238,12000,sedan,3,0,1,0,12000,0.4529442316,3,4,4,4,3,4,3,4,2,5,2,0
62,171578,1,1,10-19y,university,upper class,,1,before 2015,1,1,10238,8000,sedan,2,0,1,0,8000,0.5250327586,3,3,4,4,3,4,4,3,3,2,2,0
67,367026,2,0,10-19y,high school,working class,0.532661328,1,before 2015,1,1,10238,11000,sedan,0,0,0,0,11000,0.532661328,4,4,4,4,3,3,4,3,2,5,2,0
69,623367,3,1,20-29y,university,upper class,0.6859457214,1,before 2015,1,1,32765,5000,sedan,4,1,4,0,5000,0.6859457214,5,4,4,4,4,4,4,4,3,2,2,0
79,616663,2,1,0-9y,university,upper class,0.4671555457,1,after 2015,0,0,10238,16000,sedan,0,0,0,0,16000,0.4671555457,3,4,3,3,3,3,4,2,3,2,3,0
